multiplier,generation,strategy,share
Constant(1),44,TFT2,0.15681724772990013
Constant(1),44,Grim,0.1246701785884747
Constant(1),44,GenerousTfT,0.16245635563491473
Constant(1),44,ContriteTfT,0.15135392615057672
Constant(1),44,Pavlov,0.12674952329725914
Constant(1),45,AllC,0.12656902662992806
Constant(1),45,AllD,8.152788884877888e-11
Constant(1),45,Random,4.562974832142447e-06
Constant(1),45,TfT,0.15135483820211607
Constant(1),45,SuspiciousTfT,2.0771004988959378e-05
Constant(1),45,TFT2,0.15681872679109443
Constant(1),45,Grim,0.12466953627941267
Constant(1),45,GenerousTfT,0.16245794372320205
Constant(1),45,ContriteTfT,0.1513548382021159
Constant(1),45,Pavlov,0.12674975611078182
Constant(1),46,AllC,0.12656992670103331
Constant(1),46,AllD,5.0169642070623776e-11
Constant(1),46,Random,3.621590915395253e-06
Constant(1),46,TfT,0.1513555846995206
Constant(1),46,SuspiciousTfT,1.7150343796158165e-05
Constant(1),46,TFT2,0.15681994454588538
Constant(1),46,Grim,0.12466899544089231
Constant(1),46,GenerousTfT,0.16245924893529268
Constant(1),46,ContriteTfT,0.15135558469952043
Constant(1),46,Pavlov,0.12674994299297423
Constant(1),47,AllC,0.1265706702946047
Constant(1),47,AllD,3.0872779333999997e-11
Constant(1),47,Random,2.874423283189363e-06
Constant(1),47,TfT,0.15135619585872398
Constant(1),47,SuspiciousTfT,1.4160833677658669e-05
Constant(1),47,TFT2,0.15682094726482376
Constant(1),47,Grim,0.12466854054962948
Constant(1),47,GenerousTfT,0.16246032183069972
Constant(1),47,ContriteTfT,0.1513561958587238
Constant(1),47,Pavlov,0.1267500930549609
Constant(1),48,AllC,0.12657128460196174
Constant(1),48,AllD,1.8998110364657962e-11
Constant(1),48,Random,2.2814033172294192e-06
Constant(1),48,TfT,0.15135669634794385
Constant(1),48,SuspiciousTfT,1.1692446047482291e-05
Constant(1),48,TFT2,0.156821773003444
Constant(1),48,Grim,0.1246681583417583
Constant(1),48,GenerousTfT,0.16246120389718854
Constant(1),48,ContriteTfT,0.1513566963479437
Constant(1),48,Pavlov,0.126750213591397
Constant(1),49,AllC,0.12657179209176525
Constant(1),49,AllD,1.1690822248024688e-11
Constant(1),49,Random,1.8107289074070828e-06
Constant(1),49,TfT,0.15135710631281094
Constant(1),49,SuspiciousTfT,9.654335700879919e-06
Constant(1),49,TFT2,0.1568224530652712
Constant(1),49,Grim,0.12466783751110624
Constant(1),49,GenerousTfT,0.1624619291856177
Constant(1),49,ContriteTfT,0.15135710631281074
Constant(1),49,Pavlov,0.1267503104443188
Constant(1),50,AllC,0.1265722113298035
Constant(1),50,AllD,7.194153460436435e-12
Constant(1),50,Random,1.4371590103123495e-06
Constant(1),50,TfT,0.15135744221076236
Constant(1),50,SuspiciousTfT,7.971495565113748e-06
Constant(1),50,TFT2,0.15682301320334815
Constant(1),50,Grim,0.12466756844105181
Constant(1),50,GenerousTfT,0.16246252564871155
Constant(1),50,ContriteTfT,0.15135744221076217
Constant(1),50,Pavlov,0.12675038829379084
Constant(1),51,AllC,0.12657255765655687
Constant(1),51,AllD,4.4270490887776734e-12
Constant(1),51,Random,1.1406600468369571e-06
Constant(1),51,TfT,0.15135771749045024
Constant(1),51,SuspiciousTfT,6.581995001293415e-06
Constant(1),51,TFT2,0.15682347460721224
Constant(1),51,Grim,0.12466734296803693
Constant(1),51,GenerousTfT,0.16246301623767911
Constant(1),51,ContriteTfT,0.15135771749045004
Constant(1),51,Pavlov,0.12675045089013953
Constant(1),52,AllC,0.12657284374720112
Constant(1),52,AllD,2.7242627007160338e-12
Constant(1),52,Random,9.053315559320002e-07
Constant(1),52,TfT,0.15135794314516146
Constant(1),52,SuspiciousTfT,5.434699801356476e-06
Constant(1),52,TFT2,0.15682385471378796
Constant(1),52,Grim,0.12466715417433039
Constant(1),52,GenerousTfT,0.16246341980071313
Constant(1),52,ContriteTfT,0.15135794314516127
Constant(1),52,Pavlov,0.12675050123956313
Constant(1),53,AllC,0.1265730800744363
Constant(1),53,AllD,1.6764231209797833e-12
Constant(1),53,Random,7.185534939008959e-07
Constant(1),53,TfT,0.151358128163779
Constant(1),53,SuspiciousTfT,4.487389820990687e-06
Constant(1),53,TFT2,0.15682416787373166
Constant(1),53,Grim,0.12466699620741474
Constant(1),53,GenerousTfT,0.1624637518193499
Constant(1),53,ContriteTfT,0.1513581281637788
Constant(1),53,Pavlov,0.1267505417525184
Constant(1),54,AllC,0.12657327529099252
Constant(1),54,AllD,1.0316165788941967e-12
Constant(1),54,Random,5.703094529831497e-07
Constant(1),54,TfT,0.15135827989838502
Constant(1),54,SuspiciousTfT,3.7052048709855595e-06
Constant(1),54,TFT2,0.15682442589909035
Constant(1),54,Grim,0.12466686412331561
Constant(1),54,GenerousTfT,0.16246402501209603
Constant(1),54,ContriteTfT,0.15135827989838485
Constant(1),54,Pavlov,0.12675057436238002
Constant(1),55,AllC,0.1265734365457452
Constant(1),55,AllD,6.348235049408534e-13
