multiplier_name,strat_a,strat_b,repetition,total_a,total_b,coop_rate_a,coop_rate_b,rounds
Constant(1),Pavlov,ContriteTfT,1,600.0,600.0,1.0,1.0,200
Constant(1),Pavlov,Pavlov,1,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,AllD,2,0.0,1000.0,1.0,0.0,200
Constant(1),AllC,Random,2,267.0,822.0,1.0,0.445,200
Constant(1),AllC,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,SuspiciousTfT,2,597.0,602.0,1.0,0.995,200
Constant(1),AllC,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),AllC,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),AllD,AllC,2,1000.0,0.0,0.0,1.0,200
Constant(1),AllD,AllD,2,200.0,200.0,0.0,0.0,200
Constant(1),AllD,Random,2,556.0,111.0,0.0,0.445,200
Constant(1),AllD,TfT,2,204.0,199.0,0.0,0.005,200
Constant(1),AllD,SuspiciousTfT,2,200.0,200.0,0.0,0.0,200
Constant(1),AllD,TFT2,2,208.0,198.0,0.0,0.01,200
Constant(1),AllD,Grim,2,204.0,199.0,0.0,0.005,200
Constant(1),AllD,GenerousTfT,2,288.0,178.0,0.0,0.11,200
Constant(1),AllD,ContriteTfT,2,204.0,199.0,0.0,0.005,200
Constant(1),AllD,Pavlov,2,600.0,100.0,0.0,0.5,200
Constant(1),Random,AllC,2,822.0,267.0,0.445,1.0,200
Constant(1),Random,AllD,2,111.0,556.0,0.445,0.0,200
Constant(1),Random,Random,2,378.0,378.0,0.445,0.445,200
Constant(1),Random,TfT,2,427.0,422.0,0.445,0.45,200
Constant(1),Random,SuspiciousTfT,2,423.0,423.0,0.445,0.445,200
Constant(1),Random,TFT2,2,588.0,353.0,0.445,0.68,200
Constant(1),Random,Grim,2,115.0,555.0,0.445,0.005,200
Constant(1),Random,GenerousTfT,2,482.0,402.0,0.445,0.525,200
Constant(1),Random,ContriteTfT,2,427.0,422.0,0.445,0.45,200
Constant(1),Random,Pavlov,2,458.0,418.0,0.445,0.485,200
Constant(1),TfT,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,AllD,2,199.0,204.0,0.005,0.0,200
Constant(1),TfT,Random,2,422.0,427.0,0.45,0.445,200
Constant(1),TfT,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,SuspiciousTfT,2,500.0,500.0,0.5,0.5,200
Constant(1),TfT,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TfT,Pavlov,2,600.0,600.0,1.0,1.0,200
Constant(1),SuspiciousTfT,AllC,2,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,AllD,2,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,Random,2,423.0,423.0,0.445,0.445,200
Constant(1),SuspiciousTfT,TfT,2,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,SuspiciousTfT,2,200.0,200.0,0.0,0.0,200
Constant(1),SuspiciousTfT,TFT2,2,602.0,597.0,0.995,1.0,200
Constant(1),SuspiciousTfT,Grim,2,203.0,203.0,0.005,0.005,200
Constant(1),SuspiciousTfT,GenerousTfT,2,599.0,594.0,0.98,0.985,200
Constant(1),SuspiciousTfT,ContriteTfT,2,500.0,500.0,0.5,0.5,200
Constant(1),SuspiciousTfT,Pavlov,2,401.0,401.0,0.335,0.335,200
Constant(1),TFT2,AllC,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,AllD,2,198.0,208.0,0.01,0.0,200
Constant(1),TFT2,Random,2,353.0,588.0,0.68,0.445,200
Constant(1),TFT2,TfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,SuspiciousTfT,2,597.0,602.0,1.0,0.995,200
Constant(1),TFT2,TFT2,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Grim,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,GenerousTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,ContriteTfT,2,600.0,600.0,1.0,1.0,200
Constant(1),TFT2,Pavlov,2,600.0,600.0,1.0,1.0,200
